24,25,26,31,41,42,0,0,0,0
25,26,31,41,42,0,0,0,0,0
26,31,41,42,0,0,0,0,0,0
31,41,42,0,0,0,0,0,0,0
41,42,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
7,8,9,10,11,17,26,30,31,0
8,9,10,11,17,26,30,31,0,0
9,10,11,17,26,30,31,0,0,0
10,11,17,26,30,31,0,0,0,0
11,17,26,30,31,0,0,0,0,0
17,26,30,31,0,0,0,0,0,0
26,30,31,0,0,0,0,0,0,0
30,31,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
15,16,24,25,31,34,35,36,42,0
16,24,25,31,34,35,36,42,0,0
24,25,31,34,35,36,42,0,0,0
25,31,34,35,36,42,0,0,0,0
31,34,35,36,42,0,0,0,0,0
34,35,36,42,0,0,0,0,0,0
35,36,42,0,0,0,0,0,0,0
36,42,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
15,16,17,19,20,21,26,27,30,33
16,17,19,20,21,26,27,30,33,0
17,19,20,21,26,27,30,33,0,0
19,20,21,26,27,30,33,0,0,0
20,21,26,27,30,33,0,0,0,0
21,26,27,30,33,0,0,0,0,0
26,27,30,33,0,0,0,0,0,0
27,30,33,0,0,0,0,0,0,0
30,33,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
10,12,26,0,0,0,0,0,0,0
12,26,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
8,9,10,12,18,20,26,32,0,0
9,10,12,18,20,26,32,0,0,0
10,12,18,20,26,32,0,0,0,0
12,18,20,26,32,0,0,0,0,0
18,20,26,32,0,0,0,0,0,0
20,26,32,0,0,0,0,0,0,0
26,32,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
8,9,10,26,0,0,0,0,0,0
9,10,26,0,0,0,0,0,0,0
10,26,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
8,9,10,14,18,26,29,30,36,0
9,10,14,18,26,29,30,36,0,0
10,14,18,26,29,30,36,0,0,0
14,18,26,29,30,36,0,0,0,0
18,26,29,30,36,0,0,0,0,0
26,29,30,36,0,0,0,0,0,0
29,30,36,0,0,0,0,0,0,0
30,36,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
8,9,10,18,26,27,28,29,38,0
9,10,18,26,27,28,29,38,0,0
10,18,26,27,28,29,38,0,0,0
18,26,27,28,29,38,0,0,0,0
26,27,28,29,38,0,0,0,0,0
27,28,29,38,0,0,0,0,0,0
28,29,38,0,0,0,0,0,0,0
29,38,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
17,19,20,21,27,30,33,0,0,0
19,20,21,27,30,33,0,0,0,0
20,21,27,30,33,0,0,0,0,0
21,27,30,33,0,0,0,0,0,0
27,30,33,0,0,0,0,0,0,0
30,33,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0
8,9,10,11,17,24,26,33,36,0
9,10,11,17,24,26,33,36,0,0
10,11,17,24,26,33,36,0,0,0
