0,1,7,10,23
1,7,10,23,24
7,10,23,24,25
10,23,24,25,26
23,24,25,26,31
24,25,26,31,41
0,1,4,5,6
1,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,17
9,10,11,17,26
10,11,17,26,30
0,1,3,11,14
1,3,11,14,15
3,11,14,15,16
11,14,15,16,24
14,15,16,24,25
15,16,24,25,31
16,24,25,31,34
24,25,31,34,35
25,31,34,35,36
1,8,9,11,12
8,9,11,12,15
9,11,12,15,16
11,12,15,16,17
12,15,16,17,19
15,16,17,19,20
16,17,19,20,21
17,19,20,21,26
19,20,21,26,27
20,21,26,27,30
1,5,6,8,9
5,6,8,9,10
6,8,9,10,12
2,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,12
8,9,10,12,18
9,10,12,18,20
10,12,18,20,26
2,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
2,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,14
8,9,10,14,18
9,10,14,18,26
10,14,18,26,29
14,18,26,29,30
2,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,26
9,10,18,26,27
10,18,26,27,28
18,26,27,28,29
3,4,6,12,15
4,6,12,15,17
6,12,15,17,19
12,15,17,19,20
15,17,19,20,21
17,19,20,21,27
19,20,21,27,30
3,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,17
9,10,11,17,24
10,11,17,24,26
11,17,24,26,33
3,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,14
8,9,10,14,18
9,10,14,18,26
10,14,18,26,27
3,4,5,6,7
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,12
9,10,11,12,14
10,11,12,14,15
11,12,14,15,16
12,14,15,16,17
14,15,16,17,19
15,16,17,19,20
16,17,19,20,21
17,19,20,21,25
19,20,21,25,26
20,21,25,26,27
21,25,26,27,33
25,26,27,33,34
26,27,33,34,35
3,5,6,7,8
5,6,7,8,9
6,7,8,9,18
7,8,9,18,25
8,9,18,25,26
4,5,6,7,9
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,6,7,8,9
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,13
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,13
8,9,10,13,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,9
4,5,6,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,10
6,7,8,10,18
4,5,6,7,8
5,6,7,8,10
4,5,6,7,8
5,6,7,8,10
4,5,6,7,8
5,6,7,8,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,12
8,9,10,12,14
9,10,12,14,18
4,5,6,7,9
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,7,12,21
5,7,12,21,24
7,12,21,24,27
12,21,24,27,30
21,24,27,30,32
24,27,30,32,33
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,12
8,9,10,12,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,15
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,12
9,10,11,12,15
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,15
8,9,10,15,21
9,10,15,21,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,12
8,9,10,12,14
9,10,12,14,18
10,12,14,18,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,12
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,21
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,12
9,10,11,12,14
10,11,12,14,15
11,12,14,15,16
12,14,15,16,17
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,4,4,4,5
4,4,4,5,5
4,4,5,5,5
4,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,6
5,5,5,6,6
5,5,6,6,6
5,6,6,6,7
6,6,6,7,7
6,6,7,7,7
6,7,7,7,7
7,7,7,7,8
7,7,7,8,8
7,7,8,8,8
7,8,8,8,8
8,8,8,8,8
8,8,8,8,9
8,8,8,9,9
8,8,9,9,9
8,9,9,9,9
9,9,9,9,10
9,9,9,10,10
9,9,10,10,10
9,10,10,10,10
10,10,10,10,10
10,10,10,10,10
10,10,10,10,10
10,10,10,10,10
10,10,10,10,10
10,10,10,10,10
10,10,10,10,10
10,10,10,10,17
10,10,10,17,17
10,10,17,17,17
10,17,17,17,18
17,17,17,18,18
17,17,18,18,26
17,18,18,26,26
18,18,26,26,26
18,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,26
26,26,26,26,30
26,26,26,30,30
26,26,30,30,33
26,30,30,33,33
4,5,6,7,8
5,6,7,8,10
6,7,8,10,11
7,8,10,11,12
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
8,9,10,11,12
9,10,11,12,14
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,8,9
5,6,8,9,10
6,8,9,10,26
8,9,10,26,30
4,7,8,9,10
7,8,9,10,12
8,9,10,12,16
9,10,12,16,17
10,12,16,17,18
12,16,17,18,20
16,17,18,20,26
17,18,20,26,27
18,20,26,27,28
20,26,27,28,29
26,27,28,29,32
27,28,29,32,33
4,8,10,18,29
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,13
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,26
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,11
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
8,9,10,18,22
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
5,6,7,8,9
6,7,8,9,10
7,8,9,10,18
4,5,6,7,8
